新闻News,#genre#
Smithsonian Channel,http://63.141.250.146:9560/SmithsonianChannel/index.m3u8?v.channelid=2171&v.type=1&ips=51.79.78.8:9590
Lifetime,http://63.141.250.146:9560/Lifetime/index.m3u8?v.channelid=2172&v.type=1&ips=38.75.136.226:18344
Love Nature,http://63.141.250.146:9560/LoveNature/index.m3u8?v.channelid=2173&v.type=1&ips=38.75.136.226:18344
BBC earth,http://127.0.0.1:9560/bbcearth/index.m3u8?v.channelid=2174&v.type=1&ips=38.75.136.226:18344
CI罪案侦查,http://173.234.25.90:9560/CI/index.m3u8?v.channelid=2175&v.type=1&ips=108.181.2.193:22263
视纳华仁纪实,http://127.0.0.1:9560/shinarenhua/index.m3u8?v.channelid=2176&v.type=1&ips=108.181.2.193:22263
CCTV 9 纪录片,http://45.88.151.66:9560/09cctv9/index.m3u8?v.channelid=2177&v.type=1&ips=51.79.98.142:19884
CCTV 10 科教,http://45.88.151.66:9560/10cctv10/index.m3u8?v.channelid=2178&v.type=1&ips=51.79.98.142:19884
CCTV 12 社法,http://45.88.151.66:9560/12cctv12/index.m3u8?v.channelid=2179&v.type=1&ips=51.79.98.142:19884
Discovery US,http://51.161.87.108:9560/discovery/index.m3u8?v.channelid=2180&v.type=1&ips=51.79.72.168:29593
NatGeo US,http://51.161.87.108:9560/natgeo/index.m3u8?v.channelid=2181&v.type=1&ips=51.79.72.168:29593
NatGeo Wild US,http://104.149.150.86:9560/NatGeoWild/index.m3u8?v.channelid=2182&v.type=1&ips=66.70.176.222:9598
Discovery Science US,http://148.251.66.26:9560/discoveryscience/index.m3u8?v.channelid=2183&v.type=1&ips=94.130.8.187:9590
Investigation Discovery US,http://51.161.116.93:9560/InvestagationDiscovery/index.m3u8?v.channelid=2184&v.type=1&ips=148.113.176.47:19698
Animal Planet US,http://127.0.0.1:9560/animalplanet/index.m3u8?v.channelid=2185&v.type=1&ips=51.79.72.168:29593
History 1 US,http://104.149.150.86:9560/History/index.m3u8?v.channelid=2186&v.type=1&ips=66.70.176.222:9598
History 2 US,http://127.0.0.1:9560/History2/index.m3u8?v.channelid=2187&v.type=1&ips=51.79.78.8:9590
Science US,http://51.161.87.108:9560/19Science/index.m3u8?v.channelid=2188&v.type=1&ips=51.79.72.168:29593
TLC US,http://127.0.0.1:9560/TLC/index.m3u8?v.channelid=2189&v.type=1&ips=148.113.176.47:19698
音乐Music,#genre#
粤语经典,http://127.0.0.1:9560/yuemu/index.m3u8?v.channelid=2190&v.type=1&ips=65.21.93.207:19595
粤语歌曲1974-94,http://127.0.0.1:9560/yue7494/index.m3u8?v.channelid=2194&v.type=1&ips=65.21.93.207:19595
香港怀旧金曲,http://127.0.0.1:9560/yueold/index.m3u8?v.channelid=2195&v.type=1&ips=65.21.93.207:19595
陈百强,http://127.0.0.1:9560/chenbaiqiang/index.m3u8?v.channelid=2196&v.type=1&ips=65.21.93.207:19595
刘德华,http://127.0.0.1:9560/liudehua/index.m3u8?v.channelid=2197&v.type=1&ips=65.21.93.207:19595
陈慧娴,http://127.0.0.1:9560/chenhuixian/index.m3u8?v.channelid=2198&v.type=1&ips=65.21.93.207:19595
Beyond黄家驹,http://127.0.0.1:9560/beyond/index.m3u8?v.channelid=2199&v.type=1&ips=65.21.93.207:19595
郑少秋,http://127.0.0.1:9560/zhengshaoqiu/index.m3u8?v.channelid=2200&v.type=1&ips=65.21.93.207:19595
王菲,http://127.0.0.1:9560/wangfei/index.m3u8?v.channelid=2201&v.type=1&ips=65.21.93.207:19595
刘若英,http://127.0.0.1:9560/liuruoying/index.m3u8?v.channelid=2202&v.type=1&ips=65.21.93.207:19595
周华健,http://127.0.0.1:9560/zhouhuajian/index.m3u8?v.channelid=2203&v.type=1&ips=65.21.93.207:19595
90年代华语经典,http://127.0.0.1:9560/90scn/index.m3u8?v.channelid=2191&v.type=1&ips=65.21.93.207:19595
00年代华语经典,http://127.0.0.1:9560/00s/index.m3u8?v.channelid=2192&v.type=1&ips=65.21.93.207:19595
10年代华语经典,http://127.0.0.1:9560/10s/index.m3u8?v.channelid=2193&v.type=1&ips=65.21.93.207:19595
郁可唯,http://127.0.0.1:9560/yukewei/index.m3u8?v.channelid=2204&v.type=1&ips=65.21.93.207:19595
王心凌,http://127.0.0.1:9560/wangxinling/index.m3u8?v.channelid=2205&v.type=1&ips=65.21.93.207:19595
徐佳莹,http://127.0.0.1:9560/xujiaying/index.m3u8?v.channelid=2206&v.type=1&ips=65.21.93.207:19595
徐佳莹,http://127.0.0.1:9560/xujiaying/index.m3u8?v.channelid=2207&v.type=1&ips=65.21.93.207:19595
陈绮贞,http://127.0.0.1:9560/chenqizhen/index.m3u8?v.channelid=2208&v.type=1&ips=65.21.93.207:19595
戴佩妮,http://127.0.0.1:9560/daipeini/index.m3u8?v.channelid=2209&v.type=1&ips=65.21.93.207:19595
那英,http://127.0.0.1:9560/naying/index.m3u8?v.channelid=2210&v.type=1&ips=65.21.93.207:19595
任然,http://127.0.0.1:9560/renran/index.m3u8?v.channelid=2211&v.type=1&ips=65.21.93.207:19595
香港HK,#genre#
TVB翡翠,http://127.0.0.1:9560/01tvbjade264/index.m3u8?v.channelid=580&v.type=1&ips=15.235.117.85:32342
TVB翡翠(4K),http://127.0.0.1:9560/tvbjade/index.m3u8?v.channelid=581&v.type=1&ips=51.79.98.142:19884
TVB无线新闻,http://127.0.0.1:9560/03tvbnews264/index.m3u8?v.channelid=582&v.type=1&ips=15.235.117.85:32342
TVB Plus,http://127.0.0.1:9560/04tvbj5264/index.m3u8?v.channelid=584&v.type=1&ips=38.58.181.230:19690
TVB明珠,http://127.0.0.1:9560/05tvbpearl264/index.m3u8?v.channelid=1090&v.type=1&ips=38.58.181.230:19690
Viu TV,http://127.0.0.1:9560/06viutv264/index.m3u8?v.channelid=1093&v.type=1&ips=38.58.181.230:19690
Viu 6,http://127.0.0.1:9560/07viutv6264/index.m3u8?v.channelid=1107&v.type=1&ips=38.58.181.230:19690
NOWTV新闻,http://127.0.0.1:9560/16nownews/index.m3u8?v.channelid=1259&v.type=1&ips=15.235.117.85:32342
NOWTV财经,http://127.0.0.1:9560/18nowbusi/index.m3u8?v.channelid=1261&v.type=1&ips=38.58.181.230:19690
香港HOY TV,http://127.0.0.1:9560/hoytv/index.m3u8?v.channelid=1108&v.type=1&ips=15.235.117.85:19970
香港HOY TV资讯,http://127.0.0.1:9560/hoytvzx/index.m3u8?v.channelid=1909&v.type=1&ips=38.58.181.230:19690
香港电台RTHK31,http://127.0.0.1:9560/10rthk31/index.m3u8?v.channelid=1265&v.type=1&ips=15.235.117.85:19970
香港电台RTHK32,http://127.0.0.1:9560/11rthk32/index.m3u8?v.channelid=1266&v.type=1&ips=15.235.117.85:19970
凤凰香港,http://127.0.0.1:9560/09fhhk/index.m3u8?v.channelid=1179&v.type=1&ips=15.235.117.85:19970
凤凰卫视,http://127.0.0.1:9560/08fhws/index.m3u8?v.channelid=1177&v.type=1&ips=15.235.117.85:19970
凤凰资讯,http://127.0.0.1:9560/07fhzx/index.m3u8?v.channelid=1178&v.type=1&ips=15.235.117.85:32342
NOW星影,http://127.0.0.1:9560/19nowxingying/index.m3u8?v.channelid=1262&v.type=1&ips=38.58.181.230:19690
NOW爆谷,http://127.0.0.1:9560/20nowbaogu/index.m3u8?v.channelid=1263&v.type=1&ips=38.58.181.230:19690
NOW剧集,http://127.0.0.1:9560/nowjuji/index.m3u8?v.channelid=1816&v.type=1&ips=38.58.181.230:19690
NOW华剧,http://127.0.0.1:9560/nowhuaju/index.m3u8?v.channelid=1817&v.type=1&ips=38.58.181.230:19690
NOW紫金,http://127.0.0.1:9560/nowjelli/index.m3u8?v.channelid=1826&v.type=1&ips=15.235.117.85:19970
HBO HK,http://127.0.0.1:9560/hboyue/index.m3u8?v.channelid=1818&v.type=1&ips=38.58.181.230:19690
美亚电影,http://127.0.0.1.106:9560/meiyayue/index.m3u8?v.channelid=1264&v.type=1&ips=15.235.117.85:19970
TVB经典,http://127.0.0.1:9560/13tvbclassic/index.m3u8?v.channelid=1267&v.type=1&ips=15.235.117.85:19970
TVB星河(粤),http://127.0.0.1:9560/15tvbxinghyue/index.m3u8?v.channelid=1911&v.type=1&ips=15.235.117.85:19970
TVB星河(国),http://127.0.0.1:9560/16tvbxingheguo/index.m3u8?v.channelid=1099&v.type=1&ips=15.235.117.85:19970
TVB娱乐新闻,http://127.0.0.1:9560/14tvbenews/index.m3u8?v.channelid=1268&v.type=1&ips=15.235.117.85:19970
TVB黄金翡翠,http://127.0.0.1:9560/tvbgold/index.m3u8?v.channelid=1827&v.type=1&ips=15.235.117.85:19970
TVB功夫片,http://127.0.0.1:9560/tvbaction/index.m3u8?v.channelid=1828&v.type=1&ips=15.235.117.85:19970
TVB粤语片,http://127.0.0.1:9560/tvbyueyu/index.m3u8?v.channelid=1829&v.type=1&ips=15.235.117.85:19970
TVB华语剧,http://127.0.0.1:9560/tvbhuayu/index.m3u8?v.channelid=1831&v.type=1&ips=15.235.117.85:19970
TVB亚洲剧,http://127.0.0.1:9560/tvbasia/index.m3u8?v.channelid=1830&v.type=1&ips=15.235.117.85:19970
TVB亚洲综艺,http://127.0.0.1:9560/tvbasiazy/index.m3u8?v.channelid=1833&v.type=1&ips=15.235.117.85:19970
TVB戏曲,http://127.0.0.1:9560/tvbxiqu/index.m3u8?v.channelid=1832&v.type=1&ips=15.235.117.85:19970
TVB赛马18,http://127.0.0.1:9560/tvbracing/index.m3u8?v.channelid=1819&v.type=1&ips=38.58.181.230:19690
黄金华剧台,http://127.0.0.1:9560/hjhuaju/index.m3u8?v.channelid=2231&v.type=1&ips=15.235.117.85:32342
Thrill,http://127.0.0.1:9560/thrill/index.m3u8?v.channelid=2233&v.type=1&ips=15.235.117.85:32342
28AI智慧跑马,http://127.0.0.1:9560/28aipaoma/index.m3u8?v.channelid=2237&v.type=1&ips=15.235.117.85:19970
NOW体育 1,http://127.0.0.1:9560/nowsp1/index.m3u8?v.channelid=1822&v.type=1&ips=15.235.117.85:19970
NOW体育 2,http://127.0.0.1:9560/nowsp2/index.m3u8?v.channelid=1823&v.type=1&ips=15.235.117.85:19970
NOW体育 3,http://127.0.0.1:9560/nowsp3/index.m3u8?v.channelid=1824&v.type=1&ips=15.235.117.85:19970
NOW体育 4,http://103.214.108.226:9560/nowsp4/index.m3u8?v.channelid=1902&v.type=1&ips=15.235.117.85:19970
NOW体育 5,http://103.214.108.226:9560/nowsp5/index.m3u8?v.channelid=1903&v.type=1&ips=15.235.117.85:19970
NOW体育 6,http://103.214.108.226:9560/nowsp6/index.m3u8?v.channelid=1904&v.type=1&ips=15.235.117.85:19970
NOW体育 7,http://103.214.108.226:9560/nowsp7/index.m3u8?v.channelid=1905&v.type=1&ips=15.235.117.85:19970
NOW英超 ,http://127.0.0.1:9560/nowtvpl1/index.m3u8?v.channelid=1834&v.type=1&ips=15.235.117.85:19970
有线赛马18,http://127.0.0.1:9560/hkcracing/index.m3u8?v.channelid=2241&v.type=1&ips=38.58.181.230:19690
广东体育,http://127.0.0.1:9560/gdty/index.m3u8?v.channelid=1910&v.type=1&ips=38.58.181.230:19690
SUPER Kids Channel,http://127.0.0.1:9560/handsup/index.m3u8?v.channelid=1825&v.type=1&ips=15.235.117.85:19970
澳门莲花,http://127.0.0.1.106:9560/21lotus/index.m3u8?v.channelid=906&v.type=1&ips=38.58.181.230:19690
台湾TW,#genre#
民视,http://127.0.0.1:9560/ftv/index.m3u8?v.channelid=585&v.type=1&ips=108.181.2.193:22263
台视,http://127.0.0.1:9560/ttv/index.m3u8?v.channelid=586&v.type=1&ips=108.181.2.193:22263
华视,http://127.0.0.1:9560/cts/index.m3u8?v.channelid=587&v.type=1&ips=108.181.2.193:22263
中视,http://127.0.0.1:9560/zongshi/index.m3u8?v.channelid=588&v.type=1&ips=38.75.136.226:18344
东森综合,http://173.234.25.90:9560/dszhe/index.m3u8?v.channelid=1894&v.type=1&ips=38.75.136.226:18344
东森超视,http://173.234.25.90:9560/dscsh/index.m3u8?v.channelid=1895&v.type=1&ips=38.75.136.226:18344
中天新闻,http://127.0.0.1:9560/ctitvnews/index.m3u8?v.channelid=531&v.type=1&ips=15.235.117.85:32342
中天娱乐,http://127.0.0.1:9560/ctitvyl/index.m3u8?v.channelid=798&v.type=1&ips=108.181.2.193:22263
中天综合,http://127.0.0.1:9560/ctitvzh/index.m3u8?v.channelid=799&v.type=1&ips=108.181.2.193:22263
公视,http://127.0.0.1:9560/gongshi/index.m3u8?v.channelid=1293&v.type=1&ips=108.181.2.193:22263
TVBS新闻,http://127.0.0.1:9560/TVBSnews/index.m3u8?v.channelid=1274&v.type=1&ips=15.235.117.85:32342
TVBS,http://104.149.131.155:9560/tvbs/index.m3u8?v.channelid=1182&v.type=1&ips=15.235.117.85:32342
TVBS欢乐,http://127.0.0.1:9560/TVBShuanle/index.m3u8?v.channelid=1275&v.type=1&ips=38.75.136.226:18344
TVBS精采,http://127.0.0.1:9560/TVBSjingcai/index.m3u8?v.channelid=1276&v.type=1&ips=38.75.136.226:18344
东森新闻,http://173.234.25.90:9560/ettvnews/index.m3u8?v.channelid=1277&v.type=1&ips=15.235.117.85:32342
东森财经新闻,http://173.234.25.90:9560/ettvbusinews/index.m3u8?v.channelid=1278&v.type=1&ips=38.75.136.226:18344
东森电影,http://127.0.0.1:9560/ettvmov/index.m3u8?v.channelid=1279&v.type=1&ips=38.75.136.226:18344
东森戏剧,http://127.0.0.1:9560/ettvxiju/index.m3u8?v.channelid=1280&v.type=1&ips=38.75.136.226:18344
东森洋片,http://127.0.0.1:9560/ettvyangpian/index.m3u8?v.channelid=1281&v.type=1&ips=38.75.136.226:18344
民视新闻,http://127.0.0.1:9560/msxw/index.m3u8?v.channelid=1871&v.type=1&ips=108.181.2.193:22263
三立新闻,http://173.234.25.90:9560/shanlinews/index.m3u8?v.channelid=1282&v.type=1&ips=15.235.117.85:32342
三立戏剧,http://127.0.0.1:9560/shanlixiju/index.m3u8?v.channelid=1283&v.type=1&ips=38.75.136.226:18344
三立綜合,http://127.0.0.1:9560/shanlizonghe/index.m3u8?v.channelid=1284&v.type=1&ips=38.75.136.226:18344
三立台湾,http://127.0.0.1:9560/shanlitw/index.m3u8?v.channelid=1285&v.type=1&ips=38.75.136.226:18344
三立都会,http://127.0.0.1:9560/shanliduhui/index.m3u8?v.channelid=1286&v.type=1&ips=108.181.2.193:22263
三立国际,http://127.0.0.1:9560/sligj/index.m3u8?v.channelid=1899&v.type=1&ips=38.75.136.226:18344
中视新闻,http://173.234.25.90:9560/zsnews/index.m3u8?v.channelid=1288&v.type=1&ips=38.75.136.226:18344
中视经典,http://173.234.25.90:9560/zsjigndian/index.m3u8?v.channelid=1289&v.type=1&ips=38.75.136.226:18344
中视菁采,http://173.234.25.90:9560/zsjigncai/index.m3u8?v.channelid=1290&v.type=1&ips=38.75.136.226:18344
镜新闻,http://127.0.0.1:9560/jinnews/index.m3u8?v.channelid=1892&v.type=1&ips=38.75.136.226:18344
台视新闻,http://127.0.0.1:9560/tsnews/index.m3u8?v.channelid=1291&v.type=1&ips=108.181.2.193:22263
三立i新闻,http://173.234.25.90:9560/slinews/index.m3u8?v.channelid=1893&v.type=1&ips=108.181.2.193:22263
壹电视新闻,http://127.0.0.1:9560/onenews/index.m3u8?v.channelid=1296&v.type=1&ips=108.181.2.193:22263
非凡新闻,http://173.234.25.90:9560/feifannews/index.m3u8?v.channelid=1298&v.type=1&ips=38.75.136.226:18344
寰宇新闻,http://127.0.0.1:9560/huanynews/index.m3u8?v.channelid=1294&v.type=1&ips=15.235.117.85:32342
寰宇新闻台湾,http://127.0.0.1:9560/huanynewstw/index.m3u8?v.channelid=1295&v.type=1&ips=108.181.2.193:22263
年代新闻,http://127.0.0.1:9560/niandainews/index.m3u8?v.channelid=1297&v.type=1&ips=15.235.117.85:32342
台视财经,http://127.0.0.1:9560/tsbusinews/index.m3u8?v.channelid=1292&v.type=1&ips=108.181.2.193:22263
Cinemax,http://127.0.0.1:9560/cinemax/index.m3u8?v.channelid=1913&v.type=1&ips=108.181.2.193:22263
美亚电影,http://127.0.0.1:9560/meiyamov/index.m3u8?v.channelid=1299&v.type=1&ips=108.181.2.193:22263
龙祥电影,http://127.0.0.1:9560/lstimemov/index.m3u8?v.channelid=1303&v.type=1&ips=108.181.2.193:22263
好莱坞电影,http://127.0.0.1:9560/hollywoodmov/index.m3u8?v.channelid=1304&v.type=1&ips=108.181.2.193:22263
HBO,http://127.0.0.1:9560/HBO/index.m3u8?v.channelid=1305&v.type=1&ips=38.75.136.226:18344
HBO Signature,http://127.0.0.1:9560/HBOSignature/index.m3u8?v.channelid=1306&v.type=1&ips=38.75.136.226:18344
HBO Family,http://127.0.0.1:9560/HBOFamily/index.m3u8?v.channelid=1307&v.type=1&ips=38.75.136.226:18344
HBO Hits,http://127.0.0.1:9560/HBOHits/index.m3u8?v.channelid=1308&v.type=1&ips=38.75.136.226:18344
AXN,http://127.0.0.1:9560/AXN/index.m3u8?v.channelid=1309&v.type=1&ips=108.181.2.193:22263
HITS,http://127.0.0.1:9560/HITS/index.m3u8?v.channelid=1310&v.type=1&ips=108.181.2.193:22263
华纳电视,http://127.0.0.1:9560/warner/index.m3u8?v.channelid=1311&v.type=1&ips=108.181.2.193:22263
爱尔达影剧,http://127.0.0.1:9560/aldamov/index.m3u8?v.channelid=1312&v.type=1&ips=108.181.2.193:22263
CI罪案侦查,http://173.234.25.90:9560/CI/index.m3u8?v.channelid=1313&v.type=1&ips=108.181.2.193:22263
影迷数位纪实,http://127.0.0.1:9560/yingmishuweijishi/index.m3u8?v.channelid=1314&v.type=1&ips=108.181.2.193:22263
影迷数位电影,http://127.0.0.1:9560/yingmishuweimov/index.m3u8?v.channelid=1315&v.type=1&ips=108.181.2.193:22263
AMC最爱电影,http://173.234.25.90:9560/AMC/index.m3u8?v.channelid=1316&v.type=1&ips=38.75.136.226:18344
Cinema World,http://173.234.25.90:9560/CinemaWorld/index.m3u8?v.channelid=1317&v.type=1&ips=38.75.136.226:18344
CatchPlay电影,http://173.234.25.90:9560/CATCHPLAYMOV/index.m3u8?v.channelid=1319&v.type=1&ips=38.75.136.226:18344
My Cinema Europe,http://127.0.0.1:9560/MyCinemaEurope/index.m3u8?v.channelid=1320&v.type=1&ips=108.181.2.193:22263
视纳华仁纪实,http://127.0.0.1:9560/shinarenhua/index.m3u8?v.channelid=1321&v.type=1&ips=108.181.2.193:22263
博斯运动1,http://173.234.25.90:9560/boshisp1/index.m3u8?v.channelid=1322&v.type=1&ips=38.75.136.226:18344
博斯运动2,http://173.234.25.90:9560/boshisp2/index.m3u8?v.channelid=1323&v.type=1&ips=38.75.136.226:18344
博斯魅力,http://173.234.25.90:9560/boshimeili/index.m3u8?v.channelid=1324&v.type=1&ips=38.75.136.226:18344
博斯高球1,http://127.0.0.1:9560/boshigolf1/index.m3u8?v.channelid=1325&v.type=1&ips=108.181.2.193:22263
博斯高球2,http://127.0.0.1:9560/boshigolf2/index.m3u8?v.channelid=1326&v.type=1&ips=108.181.2.193:22263
博斯无限1,http://63.141.250.146:9560/boshiwuxian1/index.m3u8?v.channelid=1327&v.type=1&ips=38.75.136.226:18344
博斯无限2,http://63.141.250.146:9560/boshiwuxian2/index.m3u8?v.channelid=1328&v.type=1&ips=38.75.136.226:18344
博斯网球,http://63.141.250.146:9560/boshitennis/index.m3u8?v.channelid=1329&v.type=1&ips=38.75.136.226:18344
ELEVEN体育1,http://127.0.0.1:9560/ELEVEN1/index.m3u8?v.channelid=1330&v.type=1&ips=38.75.136.226:18344
ELEVEN体育2,http://127.0.0.1:9560/ELEVEN2/index.m3u8?v.channelid=1331&v.type=1&ips=38.75.136.226:18344
MOMO綜合,http://63.141.250.146:9560/MOMOzonghe/index.m3u8?v.channelid=1332&v.type=1&ips=38.75.136.226:18344
JET综合,http://63.141.250.146:9560/JETzonghe/index.m3u8?v.channelid=1333&v.type=1&ips=38.75.136.226:18344
龙华电影,http://63.141.250.146:9560/longhuamov/index.m3u8?v.channelid=1335&v.type=1&ips=38.75.136.226:18344
龙华日韩,http://63.141.250.146:9560/longhuajpkr/index.m3u8?v.channelid=1336&v.type=1&ips=38.75.136.226:18344
龙华戏剧,http://63.141.250.146:9560/longhuaxiju/index.m3u8?v.channelid=1337&v.type=1&ips=38.75.136.226:18344
龙华经典,http://63.141.250.146:9560/longhuaclassic/index.m3u8?v.channelid=1338&v.type=1&ips=38.75.136.226:18344
龙华偶像,http://63.141.250.146:9560/longhuaouxiang/index.m3u8?v.channelid=1339&v.type=1&ips=38.75.136.226:18344
龙华卡通,http://63.141.250.146:9560/longhuacartoon/index.m3u8?v.channelid=1340&v.type=1&ips=38.75.136.226:18344
龙华洋片,http://127.0.0.1:9560/longhuaypin/index.m3u8?v.channelid=2232&v.type=1&ips=38.75.136.226:18344
靖天戏剧,http://63.141.250.146:9560/jingtianxiju/index.m3u8?v.channelid=1341&v.type=1&ips=38.75.136.226:18344
靖天卡通,http://63.141.250.146:9560/jingtiancartoon/index.m3u8?v.channelid=1343&v.type=1&ips=38.75.136.226:18344
靖洋卡通,http://63.141.250.146:9560/jingyangcartoon/index.m3u8?v.channelid=1344&v.type=1&ips=38.75.136.226:18344
靖天综合,http://63.141.250.146:9560/jingtianzhonghe/index.m3u8?v.channelid=1345&v.type=1&ips=38.75.136.226:18344
靖天日本,http://63.141.250.146:9560/jingtianjapan/index.m3u8?v.channelid=1346&v.type=1&ips=38.75.136.226:18344
靖天映画,http://63.141.250.146:9560/jingtianyinghua/index.m3u8?v.channelid=1347&v.type=1&ips=38.75.136.226:18344
靖天电影,http://63.141.250.146:9560/jingtianmov/index.m3u8?v.channelid=1348&v.type=1&ips=38.75.136.226:18344
靖天育乐,http://63.141.250.146:9560/jingtianyuele/index.m3u8?v.channelid=1349&v.type=1&ips=38.75.136.226:18344
靖天欢乐,http://63.141.250.146:9560/jingtianhuanle/index.m3u8?v.channelid=1350&v.type=1&ips=38.75.136.226:18344
靖天国际,http://63.141.250.146:9560/jingtianguoji/index.m3u8?v.channelid=1351&v.type=1&ips=38.75.136.226:18344
靖洋戏剧,http://63.141.250.146:9560/jingyangxiju/index.m3u8?v.channelid=1342&v.type=1&ips=38.75.136.226:18344
探索亚洲,http://63.141.250.146:9560/discoveryasia/index.m3u8?v.channelid=1352&v.type=1&ips=38.75.136.226:18344
探索频道,http://63.141.250.146:9560/discoverytw/index.m3u8?v.channelid=1353&v.type=1&ips=38.75.136.226:18344
探索科学,http://63.141.250.146:9560/discoveryscience/index.m3u8?v.channelid=1355&v.type=1&ips=38.75.136.226:18344
DMAX,http://63.141.250.146:9560/DMAX/index.m3u8?v.channelid=1356&v.type=1&ips=38.75.136.226:18344
亚洲旅游,http://63.141.250.146:9560/asiatravel/index.m3u8?v.channelid=1357&v.type=1&ips=38.75.136.226:18344
BBC earth,http://127.0.0.1:9560/bbcearth/index.m3u8?v.channelid=1900&v.type=1&ips=38.75.136.226:18344
环球旅行家,http://63.141.250.146:9560/globaltravel/index.m3u8?v.channelid=1908&v.type=1&ips=38.75.136.226:18344
动物星球,http://63.141.250.146:9560/animalplanet/index.m3u8?v.channelid=1360&v.type=1&ips=38.75.136.226:18344
历史频道,http://63.141.250.146:9560/history1/index.m3u8?v.channelid=1361&v.type=1&ips=38.75.136.226:18344
Global Trekker,http://63.141.250.146:9560/Globaltrekker/index.m3u8?v.channelid=1373&v.type=1&ips=38.75.136.226:18344
亚洲美食,http://63.141.250.146:9560/afn/index.m3u8?v.channelid=1363&v.type=1&ips=38.75.136.226:18344
美食星球,http://63.141.250.146:9560/foodplanet/index.m3u8?v.channelid=1364&v.type=1&ips=38.75.136.226:18344
BBC Lifestyle,http://63.141.250.146:9560/BBCLifestyle/index.m3u8?v.channelid=1365&v.type=1&ips=38.75.136.226:18344
TLC旅遊台,http://127.0.0.1:9560/tlc/index.m3u8?v.channelid=2238&v.type=1&ips=38.75.136.226:18344
Lifetime,http://63.141.250.146:9560/Lifetime/index.m3u8?v.channelid=1367&v.type=1&ips=38.75.136.226:18344
Love Nature,http://63.141.250.146:9560/LoveNature/index.m3u8?v.channelid=1368&v.type=1&ips=38.75.136.226:18344
HGTV TW,http://38.75.136.217:9560/hgtvtw/index.m3u8?v.channelid=2240&v.type=1&ips=15.235.117.85:19970
尼克儿童,http://63.141.250.146:9560/nick/index.m3u8?v.channelid=1370&v.type=1&ips=38.75.136.226:18344
MOMO亲子,http://63.141.250.146:9560/MOMOqinzi/index.m3u8?v.channelid=1371&v.type=1&ips=38.75.136.226:18344
CN卡通,http://63.141.250.146:9560/cartoon/index.m3u8?v.channelid=1372&v.type=1&ips=38.75.136.226:18344
Nick Jr,http://63.141.250.146:9560/NickJr/index.m3u8?v.channelid=1369&v.type=1&ips=38.75.136.226:18344
i-Fun动漫,http://63.141.250.146:9560/iFun/index.m3u8?v.channelid=1374&v.type=1&ips=38.75.136.226:18344
达芬奇儿童,http://63.141.250.146:9560/DaVinci/index.m3u8?v.channelid=1375&v.type=1&ips=38.75.136.226:18344
东森幼幼,http://63.141.250.146:9560/yoyo/index.m3u8?v.channelid=1376&v.type=1&ips=38.75.136.226:18344
Boomerang,http://63.141.250.146:9560/Boomeran/index.m3u8?v.channelid=1377&v.type=1&ips=38.75.136.226:18344
Animax,http://63.141.250.146:9560/Animax/index.m3u8?v.channelid=1378&v.type=1&ips=38.75.136.226:18344
Baby TV,http://127.0.0.1:9560/baby/index.m3u8?v.channelid=1641&v.type=1&ips=108.181.2.193:22263
爱尔达体育 1,http://127.0.0.1:9560/eltasp1/index.m3u8?v.channelid=1862&v.type=1&ips=38.75.136.226:18344
爱尔达体育 2,http://127.0.0.1:9560/eltasp2/index.m3u8?v.channelid=1863&v.type=1&ips=38.75.136.226:18344
爱尔达体育 3,http://127.0.0.1:9560/eltasp3/index.m3u8?v.channelid=1864&v.type=1&ips=38.75.136.226:18344
幸福居家,http://127.0.0.1:9560/xfjj/index.m3u8?v.channelid=2239&v.type=1&ips=38.75.136.226:18344
八大第一,http://127.0.0.1:9560/gtv1/index.m3u8?v.channelid=810&v.type=1&ips=38.75.136.226:18344
八大戏剧,http://127.0.0.1:9560/gtvxiju/index.m3u8?v.channelid=811&v.type=1&ips=38.75.136.226:18344
八大娱乐,http://127.0.0.1:9560/gtvyl/index.m3u8?v.channelid=812&v.type=1&ips=38.75.136.226:18344
八大综合,http://127.0.0.1:9560/gtv/index.m3u8?v.channelid=813&v.type=1&ips=38.75.136.226:18344
八大精彩,http://127.0.0.1:9560/gtvjc/index.m3u8?v.channelid=814&v.type=1&ips=38.75.136.226:18344
Fashion TV,http://63.141.250.146:9560/FTV/index.m3u8?v.channelid=1366&v.type=1&ips=38.75.136.226:18344
纬来育乐,http://127.0.0.1:9560/vlmaxtv/index.m3u8?v.channelid=804&v.type=1&ips=108.181.2.193:22263
纬来体育,http://127.0.0.1:9560/vlsport/index.m3u8?v.channelid=805&v.type=1&ips=108.181.2.193:22263
纬来综合,http://127.0.0.1:9560/vlontv/index.m3u8?v.channelid=806&v.type=1&ips=108.181.2.193:22263
纬来电影,http://127.0.0.1:9560/vlmovies/index.m3u8?v.channelid=807&v.type=1&ips=108.181.2.193:22263
纬来戏剧,http://127.0.0.1:9560/vlxiju/index.m3u8?v.channelid=808&v.type=1&ips=108.181.2.193:22263
纬来日本,http://127.0.0.1:9560/vljapan/index.m3u8?v.channelid=809&v.type=1&ips=108.181.2.193:22263
纬来精彩,http://127.0.0.1:9560/wljc/index.m3u8?v.channelid=1887&v.type=1&ips=108.181.2.193:22263
EYE戏剧,http://173.234.25.90:9560/eyexj/index.m3u8?v.channelid=1891&v.type=1&ips=38.75.136.226:18344
